NAME: Beijing-7
VERTICES: 2820
DEPOT: 0
REQUIRED EDGES: 2509
NON-REQUIRED EDGES: 1075
VEHICLES: 41
CAPACITY: 25000
TOTAL COST OF REQUIRED EDGES: 1018664
NODES	COST	DEMAND
605	592	433	433
212	606	522	0
607	608	278	278
609	610	348	348
611	612	397	397
612	545	471	0
545	613	486	486
614	615	295	295
609	616	93	0
617	618	95	0
619	620	77	77
621	622	148	148
622	623	155	155
623	624	244	244
624	625	84	84
626	627	172	0
628	629	172	172
620	619	66	0
630	631	795	795
141	632	433	0
633	634	126	0
635	636	422	0
637	638	409	409
638	639	388	388
445	451	571	571
640	641	504	504
641	642	343	0
643	644	100	100
645	646	1440	1440
646	647	355	0
647	648	766	0
648	649	160	160
644	643	107	107
643	650	542	542
650	651	900	900
445	652	241	241
652	653	190	190
653	512	67	67
654	160	411	411
644	655	634	634
656	657	160	160
658	659	513	513
660	661	513	513
661	662	136	136
662	663	251	251
664	665	522	522
286	358	560	0
358	666	1099	1099
667	668	584	584
669	670	745	745
671	312	190	190
312	672	159	159
673	674	514	514
675	676	890	890
158	28	676	676
28	11	428	428
650	677	506	506
678	679	594	594
679	680	1635	1635
680	508	253	0
508	681	535	535
682	683	287	287
353	684	204	204
684	685	539	539
629	686	394	394
586	687	1114	1114
627	688	279	279
689	519	307	307
690	691	261	0
88	692	662	0
692	41	1466	0
693	694	277	0
695	696	320	320
696	350	1284	1284
350	697	655	655
342	698	4828	0
698	425	469	469
699	700	589	589
701	702	917	917
702	703	52	52
704	705	349	0
705	706	442	442
707	704	956	956
708	709	132	132
710	711	461	461
712	298	181	0
298	713	454	454
297	712	216	216
645	707	1092	1092
714	715	128	128
708	716	133	133
203	717	428	0
291	718	58	0
718	719	250	250
720	721	521	0
722	723	445	445
723	724	334	334
725	726	532	0
158	727	558	558
724	723	345	0
723	728	269	269
727	158	559	0
729	730	359	0
731	732	527	0
733	734	1168	0
735	736	64	64
737	738	778	778
738	739	330	0
724	740	116	0
740	741	273	273
742	743	406	0
744	745	670	670
746	747	313	313
747	742	283	283
748	749	267	267
749	750	404	404
430	751	803	803
269	752	56	0
715	753	868	868
753	754	673	673
752	755	182	0
307	158	759	759
756	757	319	0
757	676	544	544
758	759	89	89
372	760	165	165
761	626	263	0
762	763	511	0
764	472	599	599
472	765	808	0
766	490	157	157
759	767	253	253
767	768	731	731
768	769	445	445
770	771	201	201
772	210	454	454
210	773	720	720
773	774	253	253
775	696	1467	1467
472	776	2953	2953
777	778	553	553
779	780	149	149
222	781	194	194
348	129	569	569
129	782	622	0
783	784	342	0
785	786	82	0
787	788	130	130
789	790	517	0
791	792	258	0
793	794	337	337
795	796	211	211
265	797	570	0
797	798	169	0
794	799	245	245
800	801	152	152
721	802	107	107
802	803	297	0
356	804	611	611
97	805	301	301
806	807	372	372
808	809	108	108
810	811	672	672
812	542	1038	1038
495	813	359	359
813	746	524	0
814	815	704	0
816	817	61	61
818	789	128	128
763	819	582	0
819	820	571	571
821	822	206	206
823	824	181	0
824	825	76	76
825	388	123	123
258	826	554	554
827	828	513	513
829	830	274	274
831	832	118	118
832	833	401	401
834	835	1194	1194
165	836	142	142
836	837	431	0
838	839	129	0
840	841	374	374
842	843	64	64
844	41	322	322
41	845	407	407
845	846	842	842
846	842	463	463
842	847	300	0
847	848	803	803
848	849	416	416
849	850	656	656
851	852	148	148
853	854	83	83
855	853	64	64
856	857	73	0
858	859	721	721
859	860	234	234
861	232	53	0
862	150	597	597
150	863	767	767
862	737	593	593
864	21	377	0
21	76	351	351
865	682	471	0
866	867	752	752
867	849	518	518
666	414	745	745
837	868	132	132
869	849	1842	1842
849	843	1527	1527
716	708	133	133
870	871	452	452
765	869	535	535
386	872	91	91
873	765	606	0
689	874	451	451
875	876	118	118
877	878	50	50
420	727	246	246
743	879	170	0
879	742	235	0
742	747	282	282
747	746	320	0
880	881	741	0
882	883	1225	1225
883	884	399	399
884	885	741	0
480	886	962	962
886	477	176	176
620	887	870	870
743	888	170	170
889	890	1054	1054
890	395	245	245
395	339	188	188
298	891	363	363
892	893	184	184
755	894	159	159
895	896	356	356
897	898	394	394
898	895	420	420
896	899	151	151
900	901	242	242
901	902	506	0
160	903	232	232
904	905	403	0
906	904	137	137
484	758	361	361
907	901	243	243
908	909	102	102
298	910	52	52
911	912	309	309
913	914	84	0
915	916	245	245
916	917	253	253
918	919	120	0
920	511	95	95
919	445	65	65
921	922	586	586
923	618	91	91
618	617	95	0
377	924	166	166
813	537	600	0
925	470	453	0
470	926	596	0
926	927	319	319
881	928	302	0
929	660	1291	1291
660	930	149	149
931	927	307	307
927	770	448	448
770	932	76	76
352	317	738	738
317	351	1066	1066
933	262	454	454
924	934	55	55
711	935	578	578
936	937	317	0
711	938	361	0
559	557	529	529
939	940	700	0
940	941	521	0
942	943	77	0
943	944	121	121
945	946	257	257
947	945	419	419
948	603	387	387
603	947	199	199
949	950	490	490
950	297	615	0
297	951	56	56
952	953	508	0
932	954	130	130
264	263	519	519
955	956	505	505
956	957	302	0
958	940	740	740
940	959	178	178
960	948	66	0
956	955	504	0
953	961	206	206
962	793	140	0
799	963	160	0
335	964	148	148
965	942	56	56
966	967	1107	1107
968	969	466	466
969	970	730	730
971	276	200	0
972	973	316	316
974	975	274	0
186	976	376	376
977	978	740	0
979	980	629	0
981	982	152	152
260	971	204	204
983	78	452	452
154	984	147	147
888	985	195	0
986	984	147	147
65	987	1074	1074
988	989	503	0
990	991	273	0
992	993	153	153
640	185	129	129
994	995	75	75
996	997	396	396
468	591	145	145
998	999	153	153
1000	1001	364	0
1001	1002	108	108
1002	1003	244	244
1003	1004	282	282
1005	1006	122	0
1007	1008	1242	1242
1009	1010	424	424
1011	1012	254	254
1013	1014	135	135
1015	1009	357	357
1016	1017	119	119
1018	45	729	0
1019	1020	348	348
17	1021	629	629
1021	1022	328	0
1022	1023	200	200
1024	904	428	428
1025	1026	199	199
1027	1028	1008	1008
1028	1029	550	550
1029	678	588	588
678	1030	914	914
236	1031	882	882
591	1007	143	0
1032	1033	188	188
1034	897	578	578
1035	1036	91	91
1036	1037	277	277
1038	1039	91	0
911	1040	73	73
1039	1041	316	316
1042	1043	240	240
1044	1045	260	260
1046	1047	198	0
1047	1048	133	133
1049	1050	529	529
561	711	111	0
1051	966	356	356
401	1052	438	0
935	1053	239	239
519	1054	287	0
736	236	884	884
236	1055	258	258
351	377	80	0
237	733	65	65
1027	906	1942	0
1056	906	430	430
1057	167	406	0
167	1058	217	217
1059	766	1527	1527
1050	966	434	434
1060	856	133	133
856	1061	77	77
1062	424	370	0
1063	1064	142	142
1065	639	747	747
1066	1067	166	166
1068	1064	325	325
1069	1070	176	176
1070	880	198	198
880	720	465	0
1064	1071	154	0
1072	1073	292	0
1073	1063	234	234
1074	1075	265	0
1067	1076	1030	1030
179	1077	283	0
1077	1078	614	614
1078	114	1008	0
1079	1074	298	298
372	1064	401	401
1080	1081	165	165
1082	1083	394	0
1083	1084	431	0
1085	1086	1278	1278
454	1025	477	0
1087	1088	293	293
595	409	820	820
1088	1089	433	433
1090	1091	265	0
1092	1093	99	0
595	1094	606	606
1095	1001	160	160
1001	1064	189	0
1064	372	395	395
1096	1065	492	0
1065	1097	493	493
1098	1087	230	230
1099	1100	228	228
1101	1102	368	368
1103	1095	364	364
1095	1104	365	365
867	1105	1507	0
1094	595	605	0
1106	1107	63	63
1108	1109	150	150
51	70	433	433
70	69	367	367
995	889	553	553
1110	1111	242	242
1111	421	50	50
536	1112	342	342
1112	1113	204	204
1114	1115	89	89
1114	1116	51	51
1116	1117	242	242
1118	1119	186	186
1120	1121	296	296
1121	1122	345	345
1122	1123	214	214
1124	1125	149	149
1125	1126	218	218
1127	1128	530	530
1128	1129	429	0
676	528	526	526
1130	1131	407	0
1132	1128	528	528
957	940	178	178
940	1133	741	741
959	956	302	0
1134	763	669	669
1135	1136	101	0
1137	1138	221	0
1138	1139	505	0
1140	409	340	340
1136	1141	131	131
1142	1143	822	822
397	1144	81	81
1103	1000	189	0
1000	1068	156	156
1145	1146	405	405
220	795	267	0
1147	1148	423	423
1148	247	320	0
247	1145	284	0
1145	1149	160	160
383	1150	677	677
909	1151	96	96
525	1152	389	0
1153	1154	181	181
1154	1155	527	527
1155	1154	526	526
1154	1153	179	179
1156	249	170	0
299	1149	204	204
1153	1146	373	373
1146	1157	286	286
1109	1158	86	86
1158	979	549	0
1159	21	370	370
314	1160	926	0
314	783	55	55
783	1161	1320	1320
820	1162	70	70
1163	316	206	0
1163	1164	131	131
1164	261	311	311
261	1165	718	718
316	1163	205	0
1166	1167	91	91
1168	1169	721	721
1170	917	227	227
917	1171	253	253
1172	509	254	254
1173	1174	84	0
1174	666	1415	1415
1175	1176	515	515
412	915	339	0
1177	1178	103	103
1170	1179	220	220
1179	1180	200	200
632	139	346	0
139	1181	180	180
1182	1183	462	462
1183	972	221	0
1184	1185	101	0
1186	1187	106	106
299	1188	199	0
1189	299	304	304
299	1189	303	303
142	1190	88	88
121	1191	73	73
1191	343	86	0
593	1192	346	346
1193	1194	298	298
1195	1196	57	0
1197	1198	316	0
1199	1200	454	454
1200	1201	1321	1321
1202	1203	127	0
1203	1204	459	459
52	1205	60	0
700	939	124	0
1206	51	172	172
51	352	598	598
352	1207	347	0
1208	1209	705	705
1071	1068	171	171
1064	1001	191	191
1001	1095	160	160
1210	1211	910	0
1211	71	882	0
71	1212	905	0
1213	1208	149	149
1209	1214	582	582
1086	282	959	959
282	1215	786	786
1215	1216	225	0
1216	1212	147	147
879	1217	364	364
1218	1219	399	0
1220	1221	70	0
1221	390	544	544
1222	48	90	90
522	1223	354	354
1224	1225	171	171
1223	1207	154	154
1226	1222	348	348
1227	1228	1083	0
1229	396	244	244
1230	521	447	447
1231	1232	406	406
1233	890	104	104
1234	450	274	274
450	1235	203	0
1236	1237	1532	1532
1238	1239	621	621
1239	1240	160	160
1232	1241	68	68
1242	447	169	169
447	1243	254	254
832	1244	100	100
1244	460	148	0
460	1186	135	0
1245	1246	391	391
1244	1247	433	433
1248	1038	524	524
49	1248	447	447
1249	1250	467	467
1250	819	488	488
1251	1252	218	218
1252	1253	112	0
1205	391	651	651
391	1254	299	299
1255	1256	527	0
224	1257	131	0
1257	611	330	0
1258	1259	591	0
1260	1261	146	146
1262	1263	176	176
1264	1265	64	64
1266	978	245	245
1267	33	419	419
33	1268	357	357
1269	851	1404	0
851	979	561	561
979	1270	635	635
1271	1272	322	322
1273	1274	616	0
1275	1276	100	0
1276	1277	51	51
1278	1279	629	0
1280	1281	147	147
1281	1280	100	0
1252	1282	243	243
1283	1284	210	210
1209	1273	821	821
1285	1286	602	602
1287	1288	74	74
1281	1289	105	0
1289	814	363	0
1290	1281	58	58
1291	1292	266	266
1292	1193	670	670
1293	1294	647	647
213	56	195	0
1294	1295	656	656
367	1296	119	119
763	1297	661	661
1298	1299	408	0
1299	1300	273	273
1301	1291	149	149
1119	1302	124	124
1303	1304	507	507
1304	1305	117	0
1305	1306	105	0
1307	133	1259	0
133	1308	220	220
1308	1309	365	0
1068	1310	439	439
1311	1049	372	372
760	1310	132	132
1312	1313	876	0
1314	1315	254	254
1315	1316	447	0
1317	60	150	150
1318	1319	641	641
1320	290	529	0
290	68	501	501
1321	1322	205	205
1323	1324	143	143
1325	962	573	573
1326	1327	137	0
1327	1328	204	204
631	1325	204	204
1322	1329	795	795
428	1327	213	213
1327	1330	230	230
220	1331	564	0
1331	1080	393	0
1332	157	205	205
1333	792	886	886
1334	1281	50	50
313	229	423	423
229	1335	187	187
1335	911	76	0
1336	1337	160	160
651	205	102	102
205	1338	107	0
1338	1339	194	0
1340	1149	744	744
1341	206	133	0
807	206	133	133
206	1342	731	731
1343	1344	588	588
1344	1182	416	416
1182	1345	92	0
1346	545	736	736
545	548	407	407
1347	1200	1323	0
1200	1348	456	0
1349	1350	143	0
1351	1352	496	496
31	1353	560	560
1354	1355	179	179
811	37	78	78
37	892	194	0
6	1356	103	0
834	1228	764	764
1228	1214	819	0
934	256	316	316
1214	1357	1117	1117
33	1358	554	0
613	545	486	486
545	1359	458	458
1359	654	236	236
654	1360	175	175
1361	1362	148	148
573	1349	50	50
1363	1008	144	144
1311	619	707	707
1364	1311	58	0
1365	1366	156	0
910	1367	53	53
1368	810	237	0
1259	1369	146	0
1369	499	737	0
1370	1371	316	0
1372	1336	452	452
1373	1374	369	0
1375	1376	568	568
1377	1378	245	245
1379	1380	75	75
1381	1382	653	653
1383	1384	178	178
746	1385	643	643
1386	263	532	532
263	828	426	0
828	1387	185	185
1387	1388	283	283
367	1389	981	0
1389	1390	674	674
157	1391	311	311
1391	1392	169	169
1393	1394	441	441
1395	1396	496	496
1395	78	133	0
1296	1381	309	0
839	840	82	82
1397	263	455	455
1398	1088	864	0
555	1399	825	825
1399	1400	431	0
1400	1401	379	379
1401	1402	1727	0
1403	1103	600	600
1404	1405	84	0
993	1406	181	181
1407	1408	77	77
1240	200	72	72
200	217	1052	1052
217	1324	122	0
1409	1410	181	181
1023	1386	164	164
1031	1411	64	64
1411	1412	1400	1400
1413	970	951	951
601	1414	287	287
1415	1416	198	198
1416	647	304	0
1417	746	629	0
1138	624	801	801
717	1418	216	216
1419	1387	96	0
1387	1420	93	0
1401	1421	290	290
211	566	668	668
1422	1401	779	779
1401	1400	379	379
1400	1423	425	425
1423	1057	840	0
1424	1425	207	207
1425	1426	141	0
1427	1428	211	211
1429	699	354	354
1430	1431	64	0
1431	236	883	0
236	1432	255	0
1433	1401	306	306
1427	1434	207	0
831	1435	426	0
263	1234	75	75
1234	1436	422	422
1387	1437	111	111
1438	43	437	0
1439	1440	206	206
1440	1441	128	128
1441	1442	134	134
716	1137	315	315
1443	1439	304	304
1444	1445	178	0
1446	1447	692	692
1448	1168	398	398
1168	118	122	0
118	117	270	270
117	431	612	0
1449	1450	400	400
1450	1451	117	117
1309	513	103	103
1452	1453	491	491
1453	1314	223	223
1283	219	964	964
219	1454	903	0
1455	1065	472	0
1456	1457	332	332
1458	382	284	284
1459	1460	703	0
1164	1150	252	0
1150	381	298	298
381	1461	332	0
1462	546	514	514
1463	787	223	223
1464	1465	746	746
833	832	400	400
832	831	118	118
424	1454	303	0
1454	1333	281	281
1466	120	801	0
982	1467	189	189
1012	1016	218	0
238	1468	392	0
639	670	409	409
670	1469	316	316
1470	1471	531	531
1472	1473	1468	1468
407	1474	451	451
1475	835	74	74
835	1476	139	139
1477	36	60	60
1478	150	767	0
150	862	603	603
1479	109	313	313
1480	1481	1363	1363
1481	1482	216	0
1483	214	734	0
1484	1485	190	190
281	1483	62	62
1486	66	451	0
66	513	886	886
280	1487	444	444
36	1488	99	99
1489	1490	118	0
1491	1492	118	0
1384	1489	535	535
1490	1493	268	268
1494	1383	400	400
1495	1496	53	53
1445	1497	414	0
1498	1365	260	260
1492	1444	534	534
1499	1500	892	0
1501	362	144	144
1502	1503	783	783
1504	1505	179	0
1506	1507	333	333
1507	1508	778	778
1473	1509	922	922
1499	1510	453	0
1510	1511	1197	1197
1512	1513	806	0
1513	1514	429	0
1514	1515	646	646
781	96	367	367
1516	22	852	0
1517	1518	398	398
1519	39	307	307
571	1520	254	254
1521	1522	381	381
1522	1523	656	656
1523	1524	505	505
1525	82	1406	1406
1526	1527	200	200
713	1528	590	590
1529	1486	286	286
1530	1531	671	671
1532	233	97	97
40	1533	896	896
817	1534	212	212
1139	1535	215	215
1536	377	884	0
377	861	182	182
1240	1537	882	0
1538	1530	283	0
1405	26	85	85
1539	1540	74	74
279	1541	2190	0
1117	1542	71	71
713	298	463	463
1214	1543	819	819
1543	651	765	765
1544	1213	237	237
1545	112	94	94
557	1474	370	0
1474	1546	272	0
1546	1547	161	161
101	1519	1407	0
1548	1549	232	0
1549	1550	563	0
178	1551	242	0
1552	1553	448	448
557	1290	596	596
1554	1555	823	0
1553	180	104	0
179	1552	346	0
178	1556	490	490
1557	1111	228	0
1462	1558	94	94
1081	535	421	0
1559	536	539	539
1560	1561	201	201
79	1375	228	228
1562	1563	162	162
666	1170	1500	1500
1564	184	650	0
1565	1566	189	189
1567	921	96	96
1568	1569	138	138
1569	698	63	63
1570	1571	337	337
478	1572	461	461
1573	42	401	401
42	731	390	390
1574	1575	219	219
504	731	2559	2559
731	844	488	0
844	1576	2188	2188
450	449	148	0
449	448	154	0
448	447	118	118
447	446	222	222
1162	1577	774	774
1578	1579	772	0
129	1580	200	200
1580	1581	213	213
1581	1582	358	0
1582	1583	258	258
1579	1584	91	91
1582	1581	358	358
1581	1580	213	213
1580	129	200	0
1585	1586	127	127
1587	1588	163	0
1589	1590	122	122
1591	1592	247	247
1593	104	464	464
1594	1595	173	173
1596	1574	454	454
774	729	85	85
193	1593	112	112
1597	1597	74	0
1598	1599	850	0
790	1600	362	0
633	1560	76	0
1601	1602	140	140
1603	1604	308	0
1604	1605	612	612
1606	895	1026	1026
42	41	480	480
1602	952	811	811
1607	1608	208	0
1608	1609	358	358
219	800	215	0
800	1610	385	385
1610	1611	205	0
118	1612	1756	0
1612	176	219	219
126	172	786	786
1613	1142	394	0
1142	1614	283	283
1614	1615	250	0
1616	1617	448	448
1618	1619	280	280
1619	742	367	0
1620	1621	447	447
1622	1623	143	143
796	1624	578	578
1624	1625	565	0
1626	1627	339	0
1628	1629	177	0
1630	1625	91	91
1625	1631	197	197
1632	1633	873	0
176	615	398	398
615	118	1576	1576
1634	1635	68	68
1636	1637	424	424
1638	1639	350	350
208	1640	395	395
1640	1641	128	128
1641	1642	335	335
1642	1643	328	328
1644	1645	426	0
1645	1646	453	0
1647	1648	158	158
1649	1309	298	0
1625	1650	480	0
1650	1624	85	85
1624	1651	501	0
1651	796	71	71
155	1652	177	0
826	1109	69	69
1653	1554	898	898
155	1654	412	412
405	652	485	485
1655	156	574	0
1656	1657	226	0
686	1658	279	279
1659	1647	230	230
1464	665	300	300
1660	604	54	54
1661	329	54	0
1662	1529	893	893
1663	1664	895	0
1664	1665	1717	1717
1198	355	228	228
355	51	498	498
1666	1667	153	0
1668	257	260	260
1669	1668	217	217
1668	1670	374	374
1558	1671	274	274
1672	69	139	139
69	640	397	0
1667	1673	80	80
1674	707	60	60
1675	1676	461	461
1676	680	1984	1984
680	1172	72	72
1172	1677	200	200
1678	1336	464	464
1336	1601	470	0
1679	1680	796	796
1680	1681	665	0
946	1682	96	0
1324	1683	102	0
1683	1684	164	164
1684	743	364	364
1685	1686	76	0
1686	1687	366	366
1688	1689	89	89
1689	1688	88	88
1690	305	134	134
305	1691	248	248
1447	1347	381	381
1631	1692	175	175
1693	1694	73	73
612	1453	146	0
1453	1462	213	213
1695	542	219	0
542	1696	686	686
1697	1698	208	0
1513	1020	670	0
1020	455	658	658
1699	526	379	0
526	1700	1311	1311
431	1085	1042	0
114	1701	195	0
1701	1078	806	0
1078	989	306	306
989	1077	307	307
1077	179	273	273
1702	64	280	280
64	1703	136	136
1350	1704	124	0
1257	1315	133	133
1705	1706	207	207
1707	1708	416	416
1023	446	274	274
446	269	189	0
482	1709	616	616
1709	931	367	367
1710	116	302	302
304	418	398	398
1646	875	166	0
1711	115	277	277
1712	1614	250	250
1614	1142	283	0
1142	1613	395	395
1514	1026	811	0
1026	1713	145	145
1713	453	550	550
1714	1670	201	201
1670	256	263	263
256	1715	777	0
1716	1717	698	0
1372	1678	90	90
1426	1718	907	907
1719	1154	199	0
1119	1720	246	246
1720	1721	203	203
1722	1719	203	203
1678	1372	102	102
938	1723	100	100
1025	1724	612	0
1725	1726	452	452
1726	1727	883	0
1727	1364	474	0
1728	1729	1010	1010
1729	517	599	599
511	634	74	74
1730	1731	562	562
1731	1732	615	0
1732	1733	471	0
1734	908	133	133
1734	1735	196	0
1736	1723	63	63
330	1737	844	844
1738	1739	54	0
1684	1217	188	188
1217	1619	239	0
1619	1740	282	0
1740	1741	317	0
622	1742	249	249
1743	1744	445	445
1745	1214	1117	1117
1746	1747	1183	1183
1747	1748	537	537
1305	1372	303	303
778	1743	155	155
1743	1749	202	202
547	1750	188	0
547	1751	112	112
1752	1753	396	396
709	1754	156	0
1755	1756	198	198
1754	1757	286	0
84	692	385	0
692	1758	400	0
1759	658	133	133
1760	1761	1413	1413
245	1114	199	199
1762	797	868	868
797	1327	890	0
1763	1731	314	314
1731	1764	247	247
1764	1765	409	409
1765	733	835	0
1055	1766	94	0
659	655	127	127
1767	1768	162	0
1277	1769	381	0
1769	941	492	492
1770	436	267	267
1771	347	368	368
1772	1738	53	0
1773	1343	108	108
1343	1774	183	183
1774	1775	183	0
1775	1773	108	108
1776	1777	669	669
1090	1650	901	0
970	1438	326	326
1438	1778	702	702
970	1144	844	844
1144	1779	114	114
1780	1781	213	213
390	1782	827	827
1782	1707	592	592
1707	1148	155	155
1774	25	615	615
1768	1783	56	56
1784	403	284	284
403	1112	177	177
1785	1786	149	149
1787	1788	418	0
1788	1789	211	211
941	1790	225	225
