NAME : sz1
VERTICES : 2931
DEPOT : 1
INDEX	NODES	COST	DEMAND
246103	173	114	436	
246201	114	173	419	
246202	171	114	707	
246203	174	171	1045	
247301	173	113	919	
247302	176	173	496	
247303	177	176	468	
247304	178	177	520	
247305	179	178	983	
247306	167	179	482	
247307	181	167	675	
247308	182	181	551	
247401	181	182	558	
247402	167	181	680	
247403	179	167	478	
247404	178	179	988	
247405	177	178	577	
247406	176	177	401	
247407	173	176	486	
247408	113	173	942	
248301	184	191	635	
248302	185	184	880	
248303	186	185	1082	
248304	187	186	1478	
248305	188	187	733	
248306	189	188	1157	
248307	190	189	662	
248401	189	190	672	
248402	188	189	1179	
248403	187	188	989	
248404	186	187	1293	
248405	185	186	1003	
248406	184	185	874	
248407	191	184	625	
249301	192	101	648	
249302	191	192	425	
249303	194	191	1074	
249401	191	194	1096	
249402	192	191	422	
146302	195	128	967	
146303	196	195	1055	
146304	44	196	542	
146305	198	44	814	
146401	44	198	978	
146402	196	44	382	
146403	195	196	1068	
146404	128	195	952	
146405	27	128	925	
147301	28	212	1747	
147302	201	28	656	
147303	202	201	766	
147304	203	202	934	
147305	45	203	1138	
147306	205	45	976	
147307	206	205	975	
147308	207	206	1350	
147309	208	207	792	
147310	209	208	1142	
147311	210	209	1576	
147312	211	210	2281	
147401	210	211	2282	
147402	209	210	1578	
147403	208	209	1135	
147404	207	208	793	
147405	206	207	1351	
147406	205	206	877	
147407	45	205	1075	
147408	203	45	1367	
147409	202	203	933	
147410	201	202	536	
147411	28	201	760	
147412	212	28	1751	
148301	213	228	1267	
148302	214	213	727	
148303	215	214	452	
148304	216	215	414	
148305	67	216	527	
148306	218	67	676	
148307	219	218	507	
148308	31	219	548	
148309	221	31	799	
148310	222	221	997	
148311	223	222	589	
148312	224	223	762	
148313	47	224	477	
148314	226	47	684	
148315	227	226	733	
148401	226	227	819	
148402	47	226	588	
148403	224	47	474	
148404	223	224	773	
148405	222	223	549	
148406	221	222	1040	
148407	31	221	775	
148408	219	31	579	
148409	218	219	497	
148410	67	218	675	
148411	216	67	540	
148412	215	216	402	
148413	214	215	460	
148414	213	214	717	
148415	228	213	1280	
149301	229	231	879	
149302	230	229	583	
149401	229	230	583	
149402	231	229	881	
150101	75	236	540	
150102	218	75	664	
150103	234	218	882	
150104	235	234	248	
150201	234	235	248	
150202	218	234	882	
150203	75	218	664	
150204	236	75	503	
151101	237	238	2219	
151201	238	237	2212	
152101	239	201	923	
152201	201	239	922	
153101	241	243	750	
153102	242	241	453	
153201	241	242	453	
153202	243	241	744	
154101	244	246	695	
154102	224	244	521	
154201	244	224	521	
154202	246	244	698	
155101	247	251	624	
155102	73	247	493	
155103	249	73	860	
155104	216	249	534	
155201	249	216	543	
155202	73	249	849	
155203	247	73	489	
155204	251	247	641	
156101	214	253	321	
156201	253	214	316	
157101	254	255	322	
157201	255	254	321	
158101	256	260	747	
158102	257	256	437	
158103	258	257	616	
158104	259	258	377	
158201	258	259	376	
158202	257	258	616	
158203	256	257	437	
158204	260	256	747	
159301	261	267	768	
159302	247	261	470	
159303	69	247	536	
159304	236	69	545	
159305	265	236	418	
159306	266	265	651	
159401	265	266	634	
159402	236	265	463	
159403	69	236	533	
159404	247	69	520	
159405	261	247	472	
159406	267	261	769	
160101	268	269	490	
160201	269	268	490	
161301	270	273	581	
161302	271	270	631	
161303	272	271	814	
161401	271	272	801	
161402	270	271	635	
161403	273	270	589	
162301	274	275	447	
162401	275	274	444	
163301	244	278	713	
163302	277	244	640	
163401	244	277	640	
163402	278	244	713	
164301	279	280	977	
164401	280	279	977	
165101	281	285	607	
165102	282	281	674	
165103	283	282	669	
165104	226	283	507	
165201	283	226	514	
165202	282	283	662	
165203	281	282	671	
165204	285	281	606	
166101	286	288	675	
166102	287	286	2346	
166201	286	287	2338	
166202	288	286	676	
167101	289	292	1280	
167102	290	289	720	
167103	291	290	1620	
167201	290	291	1631	
167202	289	290	720	
167203	292	289	1279	
169301	293	299	639	
169302	294	293	395	
169303	295	294	811	
169304	296	295	383	
169305	297	296	623	
169306	298	297	819	
169401	297	298	821	
169402	296	297	623	
169403	295	296	400	
169404	294	295	811	
169405	293	294	395	
169406	299	293	639	
170101	300	302	3571	
170102	301	300	4615	
170201	300	301	4536	
170202	302	300	3570	
172101	303	306	295	
172102	304	303	511	
172103	305	304	467	
172201	304	305	466	
172202	303	304	514	
172203	306	303	295	
173301	235	312	730	
173302	259	235	644	
173303	309	259	687	
173304	310	309	531	
173305	311	310	833	
173401	310	311	835	
173402	309	310	530	
173403	259	309	771	
173404	235	259	554	
173405	312	235	737	
174101	269	314	287	
174201	314	269	287	
175301	315	316	635	
175401	316	315	771	
176301	317	26	654	
176401	26	317	688	
177301	253	320	179	
177401	320	253	173	
178301	321	322	871	
178401	322	321	873	
179101	255	324	506	
179201	324	255	498	
180101	325	326	2061	
180201	326	325	1849	
181101	327	328	901	
181201	328	327	901	
182301	209	330	1523	
182401	330	209	1530	
183301	331	333	821	
183302	332	331	550	
183401	331	332	559	
183402	333	331	820	
184101	314	331	299	
184201	331	314	299	
185301	336	337	803	
185401	337	336	805	
186101	208	287	1076	
186201	287	208	1088	
187101	196	341	1551	
187201	341	196	1553	
188301	342	349	810	
188302	343	342	821	
188303	344	343	557	
188304	192	344	1115	
188305	346	192	700	
188306	347	346	858	
188307	348	347	998	
188401	347	348	999	
188402	346	347	858	
188403	192	346	698	
188404	344	192	1115	
188405	343	344	543	
188406	342	343	772	
188407	349	342	871	
189101	350	356	1161	
189102	221	350	662	
189103	352	221	515	
189104	309	352	596	
189105	354	309	353	
189106	90	354	568	
189201	354	90	566	
189202	309	354	354	
189203	352	309	607	
189204	221	352	508	
189205	350	221	645	
189206	356	350	1165	
190101	286	325	1085	
190102	358	286	2974	
190201	286	358	2960	
190202	325	286	1082	
191301	360	361	1688	
191401	361	360	1691	
192301	362	363	658	
192401	363	362	659	
193101	324	365	417	
193201	365	324	417	
194101	366	367	1032	
194201	367	366	1031	
195101	368	369	949	
195201	369	368	952	
196101	320	231	1051	
196201	231	320	1049	
197101	372	374	1057	
197102	373	372	1238	
197201	372	373	1203	
197202	374	372	1054	
198301	375	376	673	
198401	376	375	668	
199301	377	376	832	
199401	376	377	832	
201101	379	381	401	
201102	380	379	415	
201201	379	380	414	
201202	381	379	401	
202101	382	385	3005	
202102	383	382	5443	
202103	384	383	4683	
202203	383	384	4683	
202204	382	383	5443	
202205	385	382	3005	
203101	386	387	842	
203201	387	386	1018	
204101	388	391	361	
204102	389	388	331	
204103	390	389	598	
204201	389	390	593	
204202	388	389	331	
204203	391	388	369	
205101	392	395	346	
205102	393	392	482	
205103	394	393	930	
205201	393	394	930	
205202	392	393	484	
205203	395	392	355	
206301	380	0	453	
206302	393	380	829	
206303	389	393	812	
206401	393	389	804	
206402	380	393	652	
206403	399	380	615	
207301	400	404	806	
207302	381	400	764	
207303	395	381	670	
207304	391	395	807	
207401	395	391	798	
207402	381	395	675	
207403	400	381	867	
207404	404	400	711	
208101	405	411	548	
208102	406	405	1300	
208103	407	406	1335	
208104	408	407	1139	
208105	409	408	631	
208106	410	409	1100	
208201	409	410	1087	
208202	408	409	640	
208203	407	408	1137	
208204	406	407	1345	
208205	405	406	1570	
208206	411	405	281	
210301	412	413	2240	
210401	413	412	2246	
211101	414	415	1718	
211201	415	414	1719	
212301	416	417	1054	
212401	417	416	1054	
213101	418	419	919	
213201	419	418	919	
216301	420	421	1813	
216401	421	420	1810	
217101	422	425	1215	
217102	423	422	366	
217103	424	423	403	
217201	423	424	410	
217202	422	423	367	
217203	425	422	1228	
218101	426	427	841	
218201	427	426	838	
219301	428	430	383	
219302	429	428	738	
219401	428	429	737	
219402	430	428	383	
220101	431	433	703	
220102	432	431	1041	
220201	431	432	1169	
220202	433	431	550	
221101	434	438	421	
221102	435	434	474	
221103	436	435	510	
221104	437	436	935	
221202	436	437	950	
221203	435	436	495	
221204	434	435	448	
221205	438	434	446	
222101	439	441	1835	
222102	440	439	877	
222201	439	440	879	
222202	441	439	1869	
223301	442	444	601	
223302	443	442	913	
223401	442	443	917	
223402	444	442	624	
224301	445	447	404	
224302	446	445	283	
224401	445	446	287	
224402	447	445	405	
225101	448	450	568	
225102	110	448	811	
225201	448	110	894	
225202	450	448	480	
226301	451	453	4196	
226302	452	451	2421	
226401	451	452	1931	
226402	453	451	4730	
227301	159	459	1239	
227302	455	159	526	
227303	456	455	1038	
227304	457	146	774	
227401	146	457	791	
227402	455	456	1041	
227403	159	455	526	
227404	459	159	1241	
228101	460	464	1571	
228102	420	460	1102	
228103	462	420	929	
228104	463	462	598	
228201	462	463	626	
228202	420	462	901	
228203	460	420	1095	
228204	464	460	1563	
229101	190	107	1377	
229201	107	190	1387	
230301	467	468	718	
230401	468	467	717	
232301	469	472	657	
232302	470	469	811	
232303	471	470	854	
232401	470	471	859	
232402	469	470	812	
232403	472	469	650	
233301	473	476	457	
233302	474	473	507	
233303	475	474	536	
233401	474	475	544	
233402	473	474	509	
233403	476	473	445	
234101	477	478	545	
234201	478	477	543	
235101	479	484	2304	
235102	480	479	576	
235103	481	480	604	
235104	482	481	1802	
235105	483	482	925	
235201	482	483	931	
235202	481	482	1793	
235203	480	481	605	
235204	479	480	570	
235205	484	479	2316	
237301	485	489	287	
237302	486	485	719	
237303	487	486	468	
237304	427	487	266	
237401	487	427	325	
237402	486	487	409	
237403	485	486	720	
237404	489	485	269	
238101	490	494	744	
238102	491	490	337	
238103	492	491	965	
238104	464	492	521	
238201	492	464	519	
238202	491	492	1011	
238203	490	491	526	
238204	494	490	499	
239101	495	1241	556	
239102	496	495	476	
239103	124	496	635	
239201	495	124	649	
239202	496	496	467	
239203	124	495	563	
240301	136	137	494	
240302	135	136	665	
240303	134	135	1245	
240304	133	134	1737	
20202	64	65	565	
20203	63	64	984	
20204	498	63	875	
21301	499	59	2189	
21302	500	499	1307	
21303	501	500	496	
21401	500	501	560	
21402	499	500	1651	
21403	59	499	1830	
22301	503	65	452	
22302	504	503	511	
22303	505	504	610	
22401	504	505	604	
22402	503	504	503	
22403	65	503	460	
23301	507	9	751	
23302	508	507	472	
23401	507	508	478	
23402	9	507	751	
24301	510	516	789	
24302	511	510	843	
24303	13	511	779	
24304	513	13	519	
24305	514	513	603	
24306	515	514	841	
24401	514	515	713	
24402	513	514	732	
24403	13	513	721	
24404	511	13	570	
24405	510	511	852	
24406	516	510	791	
25301	517	523	953	
25302	518	517	1103	
25303	510	518	1012	
25304	520	510	1114	
25305	521	520	598	
25306	522	521	641	
25401	521	522	645	
25402	520	521	589	
25403	510	520	1097	
25404	518	510	1007	
25405	517	518	1103	
25406	523	517	942	
26101	524	532	837	
26102	525	524	1098	
26103	317	525	1625	
26104	128	317	2023	
26105	202	128	920	
26106	271	202	545	
26107	530	271	449	
26108	350	530	1451	
26201	530	350	1434	
26202	271	530	449	
26203	202	271	540	
26204	128	202	910	
26205	317	128	2037	
26206	525	317	1640	
26207	524	525	1090	
26208	532	524	847	
27101	3	539	1382	
27102	534	3	871	
27103	535	534	490	
27104	536	535	1714	
27105	537	536	1421	
27106	43	537	893	
27201	537	43	904	
27202	536	537	1436	
27203	535	536	1734	
27204	534	535	490	
27205	3	534	862	
27206	539	3	1386	
28301	540	11	655	
28302	541	540	868	
28303	542	541	665	
28304	543	542	987	
28305	35	543	924	
28306	545	35	1168	
28401	35	545	1298	
28402	543	35	934	
28403	542	543	842	
28404	541	542	680	
28405	540	541	852	
28406	11	540	658	
29301	547	525	598	
29302	536	547	929	
29401	547	536	925	
29402	525	547	603	
30301	550	551	962	
30401	551	550	953	
31301	552	7	227	
31401	7	552	508	
32301	554	63	906	
32302	555	554	744	
32401	554	555	744	
32402	63	554	906	
33301	557	559	687	
33302	558	557	593	
33401	557	558	529	
33402	559	557	687	
34301	560	6	459	
34401	6	560	563	
35301	562	564	937	
35302	563	562	725	
35401	562	563	726	
35402	564	562	937	
36301	518	572	717	
36302	566	518	563	
36303	14	566	643	
36304	568	14	1094	
36305	569	568	1031	
36306	570	569	711	
36307	38	570	1116	
36401	570	38	1120	
36402	569	570	689	
36403	568	569	994	
36404	14	568	1147	
36405	566	14	633	
36406	518	566	563	
36407	572	518	716	
37301	10	579	1849	
37302	574	10	795	
37303	575	574	723	
37304	576	575	724	
37305	577	576	802	
37306	34	577	1447	
37401	577	34	1445	
37402	576	577	801	
37403	575	576	785	
37404	574	575	651	
37405	10	574	790	
37406	579	10	1755	
38101	580	585	429	
38102	551	580	426	
38103	582	551	1062	
38104	577	582	1318	
38105	543	577	669	
38201	577	543	568	
38202	582	577	1185	
38203	551	582	1197	
38204	580	551	426	
38205	585	580	442	
39101	541	66	994	
39102	587	541	471	
39103	514	587	750	
39104	568	514	683	
39105	590	568	830	
39106	1	590	1138	
39107	592	1	675	
39108	593	592	774	
39109	547	593	2101	
39110	195	547	3357	
39111	203	195	561	
39112	333	203	557	
39113	272	333	504	
39114	599	272	443	
39115	278	599	693	
39116	223	278	686	
39117	602	223	752	
39118	603	602	1104	
39119	604	603	1177	
39201	603	604	1267	
39202	602	603	679	
39203	223	602	752	
39204	278	223	613	
39205	599	278	880	
39206	272	599	322	
39207	333	272	509	
39208	203	333	552	
39209	195	203	559	
39210	547	195	3375	
39211	593	547	1854	
39212	592	593	1008	
39213	1	592	584	
39214	590	1	1234	
39215	568	590	953	
39216	514	568	596	
39217	587	514	697	
39218	541	587	609	
39219	66	541	909	
40301	606	580	665	
40302	607	606	385	
40401	606	607	382	
40402	580	606	664	
41101	606	612	492	
41102	610	606	691	
41103	611	610	195	
41201	610	611	212	
41202	606	610	682	
41203	612	606	492	
42101	507	619	1033	
42102	574	507	211	
42103	540	574	735	
42104	616	540	504	
42105	513	616	705	
42106	618	513	485	
42201	513	618	548	
42202	616	513	693	
42203	540	616	504	
42204	574	540	751	
42205	507	574	239	
42206	619	507	1002	
43101	572	623	1336	
43102	621	572	1124	
43103	622	621	1822	
43201	621	622	1805	
43202	572	621	1127	
43203	623	572	1348	
44101	624	625	1323	
44201	625	624	958	
45301	626	627	871	
45401	627	626	871	
46301	628	629	204	
46401	629	628	203	
47301	53	633	586	
47302	631	53	749	
47303	39	631	861	
47401	631	39	850	
47402	53	631	766	
47403	633	53	584	
48301	634	635	979	
48401	635	634	989	
49301	636	37	767	
49401	37	636	763	
50101	638	642	670	
50102	639	638	570	
50103	640	639	561	
50104	641	640	784	
50201	640	641	482	
50202	639	640	562	
50203	638	639	561	
50204	642	638	680	
51101	643	649	605	
51102	644	643	771	
51103	636	644	569	
51104	646	636	666	
51105	61	646	774	
51106	648	61	710	
51201	61	648	686	
51202	646	61	781	
51203	636	646	658	
51204	644	636	575	
51205	643	644	772	
51206	649	643	604	
52301	650	651	679	
52401	651	650	678	
53301	646	653	655	
53401	653	646	651	
54301	654	655	750	
54401	655	654	747	
55301	656	657	1551	
55401	657	656	1551	
56101	658	659	1401	
56201	659	658	1402	
57301	57	662	578	
57302	535	57	958	
57401	57	535	956	
57402	662	57	563	
58301	56	592	640	
58302	534	56	1333	
58401	56	534	1323	
58402	592	56	640	
59301	517	621	716	
59302	15	517	472	
59401	517	15	466	
59402	621	517	716	
60301	669	670	708	
60401	670	669	706	
61101	671	672	1143	
61201	672	671	1091	
62301	54	590	749	
62302	674	54	623	
62303	539	674	539	
62304	40	539	858	
62401	539	40	858	
62402	674	539	562	
62403	54	674	591	
62404	590	54	764	
63301	678	679	325	
63401	679	678	337	
64102	503	681	562	
64201	681	503	562	
64202	682	681	983	
65101	683	684	855	
65201	684	683	769	
66301	655	36	872	
66401	36	655	872	
67301	687	64	918	
67302	688	687	721	
67401	687	688	918	
67402	64	687	675	
68301	690	8	1125	
68401	8	690	1195	
69301	692	693	1872	
69401	693	692	1679	
71101	694	695	8244	
71201	695	694	8236	
73301	696	701	3715	
73302	697	696	2013	
73303	698	697	1803	
73304	699	698	1069	
73305	700	699	866	
73401	699	700	871	
73402	698	699	1065	
73403	697	698	1807	
73404	696	697	1989	
73405	701	696	3747	
74102	702	0	554	
74103	703	702	1275	
74104	704	703	978	
74105	705	704	822	
74201	706	0	1591	
74202	707	706	1164	
74203	708	707	1103	
74204	709	708	621	
75101	710	712	1162	
75102	711	710	1079	
75201	710	711	1055	
75202	712	710	1090	
76101	713	715	1286	
76102	714	713	727	
76201	713	714	566	
76202	715	713	1267	
77101	18	717	1647	
77201	717	18	478	
78101	718	720	764	
78102	719	718	431	
78201	718	719	422	
78202	720	718	759	
79301	721	723	547	
79302	722	721	502	
79401	721	722	536	
79402	723	721	534	
80101	724	725	1002	
80201	725	724	991	
81101	726	728	818	
81102	727	726	488	
81201	726	727	487	
81202	728	726	825	
82101	715	735	445	
82102	730	715	715	
82103	731	730	245	
82104	727	731	747	
82105	733	727	691	
82106	721	733	494	
82201	733	721	489	
82202	727	733	713	
82203	731	727	729	
82204	730	731	298	
82205	715	730	667	
82206	735	715	439	
83101	736	741	3775	
83102	737	736	1502	
83103	738	737	1418	
83104	739	738	745	
83105	740	739	937	
83201	739	740	927	
83202	738	739	947	
83203	737	738	1464	
83204	736	737	1217	
83205	741	736	3832	
84101	742	707	700	
84102	743	742	388	
84103	744	743	908	
84104	745	744	620	
84105	746	745	525	
84106	498	746	682	
84201	746	498	685	
84202	745	746	495	
84203	744	745	651	
84204	743	744	906	
84205	742	743	390	
84206	707	742	720	
85101	749	751	323	
85102	750	749	1544	
85201	749	750	1624	
85202	751	749	373	
86101	752	772	2354	
86102	753	752	2265	
86103	754	753	1618	
86104	755	754	950	
86105	756	755	2083	
86106	757	756	1885	
86107	758	757	1800	
86108	759	758	1586	
86109	760	759	1278	
86110	761	760	1724	
86111	762	761	926	
86112	763	762	1159	
86113	764	763	570	
86114	752	764	1528	
86115	765	752	972	
86116	766	765	2840	
86117	767	766	2465	
86118	697	767	1953	
86119	769	697	1466	
86120	770	769	1566	
86121	750	770	2874	
86201	770	750	3101	
86202	769	770	1282	
86203	697	769	1836	
86204	767	697	1593	
86205	766	767	2561	
86206	765	766	2731	
86207	752	765	1039	
86208	764	752	1468	
86209	763	764	922	
86210	762	763	673	
86211	761	762	1053	
86212	760	761	1736	
86213	759	760	1252	
86214	758	759	1591	
86215	757	758	1545	
86216	756	757	1872	
86217	755	756	2180	
86218	754	755	846	
86219	753	754	1615	
86220	752	753	2266	
86221	772	752	2379	
87301	773	722	1423	
87302	714	773	1064	
87401	773	714	838	
87402	722	773	1482	
88301	743	706	602	
88401	706	743	606	
89101	778	782	330	
89102	779	778	355	
89103	780	779	770	
89104	559	780	492	
89201	780	559	484	
89202	779	780	724	
89203	778	779	406	
89204	782	778	313	
90301	783	780	695	
90302	784	783	834	
90401	783	784	820	
90402	780	783	695	
91301	746	789	622	
91302	787	746	990	
91303	788	787	594	
91401	787	788	597	
91402	746	787	973	
91403	789	746	632	
92301	790	792	724	
92302	710	790	727	
92401	790	710	722	
92402	792	790	708	
93301	742	794	504	
93401	794	742	505	
95101	795	797	397	
95102	796	795	1518	
95201	795	796	1506	
95202	797	795	397	
96301	798	799	842	
96401	799	798	990	
97301	800	744	1372	
97401	744	800	1382	
99301	802	778	1166	
99401	778	802	1152	
100301	804	779	858	
100302	805	804	894	
100401	804	805	894	
100402	779	804	909	
101101	562	808	871	
101201	808	562	870	
102101	809	733	1188	
102201	733	809	1196	
103101	726	709	879	
103102	812	726	741	
103201	726	812	743	
103202	709	726	879	
104101	814	816	728	
104102	815	814	857	
104201	814	815	940	
104202	816	814	736	
105101	817	818	291	
105201	818	817	145	
106101	819	817	876	
106201	817	819	665	
107101	821	823	1459	
107102	822	821	1546	
107201	821	822	1549	
107202	823	821	1446	
108101	824	825	309	
108201	825	824	309	
109301	825	815	82	
109401	815	825	86	
110301	828	831	145	
110302	829	828	351	
110303	830	829	472	
110401	829	830	472	
110402	828	829	356	
110403	831	828	146	
111101	832	835	660	
111102	833	832	315	
111103	834	833	417	
111201	833	834	417	
111202	832	833	315	
111203	835	832	660	
112301	836	837	1010	
112401	837	836	1062	
113301	838	839	1466	
113401	839	838	1482	
114101	840	841	1086	
114201	841	840	1086	
115301	842	844	629	
115302	843	842	704	
115401	842	843	659	
115402	844	842	629	
116301	845	846	77	
116401	846	845	79	
117301	847	848	331	
117401	848	847	338	
118101	849	2374	1558	
118102	749	849	817	
118201	849	749	811	
118202	849	849	1566	
119101	852	730	1449	
119201	730	852	1438	
120101	773	856	830	
120102	804	773	552	
120201	773	804	570	
120202	856	773	814	
121301	833	859	153	
121302	858	833	276	
121401	833	858	274	
121402	859	833	156	
123101	808	861	897	
123201	861	808	897	
125101	862	869	1899	
125102	863	862	2519	
125103	499	863	2859	
125104	865	499	3327	
125105	19	865	1474	
125106	867	19	2507	
125107	868	867	8022	
125201	867	868	8117	
125202	19	867	2345	
125203	865	19	2020	
125204	499	865	3290	
125205	863	499	3044	
125206	862	863	2328	
125207	869	862	1582	
126301	79	871	533	
126401	871	79	620	
127101	872	206	2217	
127201	206	872	2216	
128101	874	228	1405	
128201	874	874	1405	
129101	72	878	691	
129102	876	72	966	
129103	215	876	809	
129201	876	215	801	
129202	72	876	975	
129203	878	72	694	
130301	879	887	729	
130302	880	879	752	
130303	881	880	520	
130304	882	881	802	
130305	29	882	1027	
130306	239	29	631	
130307	530	239	635	
130308	599	530	846	
130401	530	599	846	
130402	239	530	635	
130403	29	239	644	
130404	882	29	1056	
130405	881	882	779	
130406	880	881	524	
130407	879	880	752	
130408	887	879	694	
131101	888	892	1127	
131102	889	888	983	
131103	890	889	1093	
131104	891	890	1067	
131201	890	891	1057	
131202	889	890	1084	
131203	888	889	1142	
131204	892	888	237	
132101	893	900	1106	
132102	20	893	1335	
132103	288	20	6619	
