INDEX	EDGE	VERTEX
213	南海大道	工业三路
214	南海大道	工业六路
215	南海大道	工业七路
216	南海大道	工业八路
217	南海大道	东滨路
218	南海大道	登良路
219	南海大道	创业路(南山)
220	南海大道	滨海大道
221	南海大道	学府路
222	南海大道	桃园路
223	南海大道	深南大道
224	南海大道	高新中二道
225	南海大道	北环大道
226	南海大道	朗山路
227	南海大道	同乐路
228	南海大道	港湾大道
229	爱榕路	工业八路
230	爱榕路	沿江高速
231	爱榕路	招商路
232	登良路	后海大道
233	登良路	南海大道
234	登良路	南山大道
235	登良路	南新路
236	登良路	后海滨路
237	二号路	同乐路
238	二号路	沙河西路
239	高新南十道	科苑南路
240	高新南十道	沙河西路
241	高新南四道	科技南路
242	高新南四道	科苑南路
243	高新南四道	沙河西路
244	高新中二道	科技中二路
245	高新中二道	南海大道
246	高新中二道	科苑路
247	工业八路	后海滨路
248	工业八路	后海大道
249	工业八路	公园路(南山)
250	工业八路	南海大道
251	工业八路	科院南路(南侧)
252	工业六路	南海大道
253	工业六路	水湾路
254	工业三路	沿山路
255	工业三路	太子路
256	海德二道	后海大道
257	海德二道	南海大道
258	海德二道	南山大道
259	海德二道	南新路
260	海德二道	后海滨路
261	后海滨路	工业七路
262	后海滨路	工业八路
263	后海滨路	东滨路
264	后海滨路	登良路
265	后海滨路	创业路(南山)
266	后海滨路	滨海大道
267	后海滨路	望海路
268	科华路	科苑路
269	科华路	青梧路
270	科技南路	高新南十道
271	科技南路	白石路
272	科技南路	深南大道
273	科技南路	滨海大道
274	科技南十路	深南大道
275	科技南十路	高新南四道
276	科技中二路	高新中二道
277	科技中二路	北环大道
278	科技中二路	深南大道
279	朗山二号路	广深高速公路
280	朗山二号路	北环大道
281	朗山路	松坪山路
282	朗山路	科苑路
283	朗山路	朗山二号路
284	朗山路	南海大道
285	朗山路	沙河西路
286	丽水路	学苑大道
287	丽水路	西丽路
288	丽水路	留仙大道
289	龙井路	龙珠四路
290	龙井路	龙珠三路
291	龙井路	龙珠大道
292	龙井路	龙珠八路
293	南光路	登良路
294	南光路	创业路(南山)
295	南光路	滨海大道
296	南光路	学府路
297	南光路	桃园路
298	南光路	深南大道
299	南光路	东滨路
300	盐梅路	环梅路
301	盐梅路	北山道
302	盐梅路	盐坝高速(小梅沙收费站)
303	南头街	南山大道
304	南头街	南新路
305	南头街	前海路
306	南头街	南光路
307	南新路	登良路
308	南新路	海德二道
309	南新路	学府路
310	南新路	桃园路
311	南新路	深南大道
312	南新路	东滨路
313	青梧路	科华路
314	青梧路	文华路
315	深湾四路	白石路
316	深湾四路	滨海大道
317	深湾五路	白石路
318	深湾五路	滨海大道
319	水湾路	工业六路
320	水湾路	招商路
321	松坪山路	广深高速公路
322	松坪山路	北环大道
323	太子路	工业三路
324	太子路	雨水路
325	塘长路	学苑大道
326	塘长路	留仙大道
327	同安路	边检路
328	同安路	南山大道
329	同发路	沙河西路
330	同发路	留仙大道
331	铜鼓路	文华路
332	铜鼓路	北环大道
333	铜鼓路	深南大道
334	文华路	青梧路
335	文华路	铜鼓路
336	文心二路	滨海大道
337	文心二路	创业路(南山)
338	西丽路	沙河西路
339	西丽路	丽水路
340	香山西街	沙河东路
341	香山西街	侨香路
342	新湖路	甲岸路
343	新湖路	创业一路
344	新湖路	裕安一路
345	新湖路	新安六路
346	新湖路	海城路
347	新湖路	西乡大道
348	新湖路	银田路
349	新湖路	新安一路
350	学府路	白石路
351	学府路	南海大道
352	学府路	南山大道
353	学府路	南新路
354	学府路	前海路
355	学府路	月亮湾大道
356	学府路	科苑南路
357	学苑大道	丽水路
358	学苑大道	留仙大道
359	学苑大道	塘长路
360	沿山路	南山公园
361	沿山路	工业八路
362	艺园路	北环大道
363	艺园路	玉泉路
364	雨水路	太子路
365	雨水路	公园南路(南山)
366	玉泉路	南山大道
367	玉泉路	南海大道
368	招商东路	后海大道
369	招商东路	科院南路(南侧)
370	招商路	水湾路
371	招商路	爱榕路
372	中山园路	广深高速公路
373	中山园路	南山大道
374	中山园路	茶光路
375	珠光北路	留仙大道
376	珠光北路	珠光南路
377	珠光南路	龙珠大道
378	珠光南路	珠光北路
379	洪安路	东海道
380	洪安路	明珠大道
381	洪安路	北山道
382	深葵路	盐坝高速(土洋收费站)
383	深葵路	盐坝高速(溪涌收费站)
384	深葵路	盐坝高速(小梅沙收费站)
385	深葵路	坪葵路
386	三六零省道	葵鹏路
387	三六零省道	坪西路
388	永安路	东海道
389	永安路	明珠大道
390	永安路	盐排高速
391	永安路	北山道
392	盐田路	东海道
393	盐田路	明珠大道
394	盐田路	盐排高速
395	盐田路	北山道
396	明珠大道	洪安路
397	明珠大道	盐田路
398	明珠大道	永安路
399	明珠大道	东海道
400	北山道	盐坝高速
401	北山道	洪安路
402	北山道	盐田路
403	北山道	永安路
404	北山道	海鲜街
405	深盐路	明珠大道
406	深盐路	盐排高速
407	深盐路	梧桐路
408	深盐路	海山路
409	深盐路	沙盐路
410	深盐路	沙深路
411	深盐路	东海道
412	海景二路	临海路
413	海景二路	海涛路
414	锦绣中路	兰景路
415	锦绣中路	锦绣东路
416	海涛路	深盐路
417	海涛路	沙深路
418	金融路	公园路(盐田)
419	金融路	海景二路
420	爱群路	石岩北环路
421	爱群路	松白路
422	宝石东路	吉祥路(石岩)
423	宝石东路	田心大道
424	宝石东路	宝石南路
425	宝石东路	石观路
426	宝石西路	松白路
427	宝石西路	宝石南路
428	宝源南路	罗田路
429	宝源南路	新安六路
430	宝源南路	裕安路
431	凤凰山大道	广深高速公路
432	凤凰山大道	广深公路
433	凤凰山大道	福凤路
434	福洲大道(福永)	同富路(福永)
435	福洲大道(福永)	永和路
436	福洲大道(福永)	松福大道
437	福洲大道(福永)	福园一路
438	福洲大道(福永)	福海大道
439	观天路	东湖路(观澜)
440	观天路	高尔夫大道
441	观天路	环观南路
442	海宾大道	海城路
443	海宾大道	西乡大道
444	海宾大道	辅三路
445	和沙路	建安路
446	和沙路	兴业西路
447	和沙路	凤塘大道
448	机场道	广深公路
449	机场道	宝安大道
450	机场道	广深高速公路
451	金湾大道	沿江高速
452	金湾大道	疏港通道
453	金湾大道	辅三路
454	沙井路	南环路
455	沙井路	金沙二路
456	沙井路	新沙路(沙井)
457	沙井路	广深高速公路
458	沙井路	新和大道
459	沙井路	兴业西路
460	石岩北环路	田心大道
461	石岩北环路	爱群路
462	石岩北环路	石岩外环路
463	石岩北环路	松白路
464	石岩北环路	石观路
465	疏港通道	宝源路
466	疏港通道	宝安大道
467	清富路	工业路
468	清富路	布龙路
469	田园路	华美路
470	田园路	东方大道
471	田园路	楼岗大道
472	田园路	芙蓉路
473	新安三路	创业二路
474	新安三路	裕安二路
475	新安三路	上川路
476	新安三路	洪浪北路
477	新安西路	海天路
478	新安西路	新湖路
479	广田路	朝阳路
480	广田路	红湖路
481	广田路	松罗路
482	广田路	众福路
483	广田路	广深公路
484	广田路	龙大高速公路
485	宝石南路	洲石公路
486	宝石南路	罗租路
487	宝石南路	河滨南路
488	宝石南路	宝石西路
489	宝石南路	松白路
490	石观路	机荷高速公路
491	石观路	石龙大道
492	石观路	长城路
493	石观路	石岩北环路
494	石观路	龙大高速公路
495	松明大道	红星大道
496	松明大道	松瑞路
497	松明大道	宝安大道
498	深南中路	深南东路
499	梅观路	南坪快速路
500	梅观路	梅坂大道
501	梅观路	梅观高速公路
502	梅观路	皇岗北路
503	华富路	振华路
504	华富路	红荔路
505	华富路	泥岗西路
506	华富路	深南中路
507	福田路	福华路
508	福田路	深南大道
509	福田路	滨河大道
510	益田路	福强路
511	益田路	福民路(福田)
512	益田路	滨河大道
513	益田路	福华路
514	益田路	深南大道
515	益田路	红荔路
516	益田路	广深高速公路
517	福强路	沙嘴路
518	福强路	新洲路
519	福强路	益田路
520	福强路	金田路(福田)
521	福强路	福民路(福田)
522	福强路	彩田路
523	福强路	滨河大道
524	白石路	红树林路
525	白石路	侨城东路
526	白石路	深湾五路
527	白石路	沙河东路
528	白石路	沙河西路
529	白石路	科技南路
530	白石路	科苑南路
531	白石路	学府路
532	白石路	广深高速公路
533	侨香路	香蜜湖路
534	侨香路	农园路
535	侨香路	农林路
536	侨香路	侨城东路
537	侨香路	深云路
538	侨香路	北环大道
539	侨香路	香梅路
540	彩田路	福华路
541	彩田路	深南大道
542	彩田路	红荔路
543	彩田路	笋岗西路
544	彩田路	北环大道
545	彩田路	梅观路
546	彩田路	滨河大道
547	侨城东路	深南大道
548	侨城东路	侨香路
549	侨城东路	白石路
550	上步北路	泥岗西路
551	上步北路	笋岗西路
552	上步南路	深南中路
553	上步南路	滨河大道
554	上步中路	红荔路
555	上步中路	笋岗西路
556	上步中路	深南中路
557	红岭北路	梅园路
558	红岭北路	红岗路
559	红岭北路	笋岗东路
560	红岭南路	深南中路
561	红岭南路	滨河大道
562	红岭中路	红桂路
563	红岭中路	笋岗东路
564	红岭中路	深南中路
565	新洲路	福强路
566	新洲路	福民路(福田)
567	新洲路	滨河大道
568	新洲路	深南大道
569	新洲路	红荔路
570	新洲路	莲花路(福田)
571	新洲路	北环大道
572	新洲路	福荣路
573	皇岗路	滨河大道
574	皇岗路	福华路
575	皇岗路	深南大道
576	皇岗路	红荔路
577	皇岗路	笋岗西路
578	皇岗路	北环大道
579	皇岗路	广深高速公路
580	笋岗西路	八卦路
581	笋岗西路	上步北路
582	笋岗西路	泥岗西路
583	笋岗西路	皇岗路
584	笋岗西路	彩田路
585	笋岗西路	红岭北路
586	深南大道	彩田路
587	深南大道	金田路(福田)
588	深南大道	益田路
589	深南大道	新洲路
590	深南大道	香梅路
591	深南大道	香蜜湖路
592	深南大道	农园路
593	深南大道	广深高速
594	深南大道	侨城东路
595	深南大道	沙河东路
596	深南大道	沙河西路
597	深南大道	铜鼓路
598	深南大道	科技南路
599	深南大道	科苑南路
600	深南大道	科技中二路
601	深南大道	南海大道
602	深南大道	南山大道
603	深南大道	前海路
604	深南大道	广深公路
605	深南大道	深南中路
606	八卦路	八卦三路
607	八卦路	泥岗西路
608	八卦路	笋岗西路
609	八卦三路	八卦路
610	八卦三路	上步北路
611	八卦三路	泥岗西路
612	八卦三路	红岭北路
613	福华路	福田路
614	福华路	皇岗路
615	福华路	彩田路
616	福华路	金田路(福田)
617	福华路	益田路
618	福华路	新洲路
619	福华路	南园路
620	福荣路	新洲路
621	福荣路	沙嘴路
622	福荣路	滨河大道
623	福荣路	益田路
624	福田四号路	益田路
625	福田四号路	皇岗路
626	海田路	红荔路
627	海田路	深南大道
628	宏威路	北环大道
629	宏威路	莲花路(福田)
630	景田路	红荔西路
631	景田路	莲花路(福田)
632	景田路	北环大道
633	景田路	新闻路
634	凯丰路	梅观路
635	凯丰路	北环大道
636	梅村路	梅林路
637	梅村路	北环大道
638	梅华路	中康路
639	梅华路	梅村路
640	梅华路	梅秀路
641	梅华路	新洲路
642	梅华路	凯丰路
643	梅林路	彩田路
644	梅林路	中康路
645	梅林路	梅村路
646	梅林路	梅秀路
647	梅林路	梅丽路
648	梅林路	北环大道
649	梅林路	皇岗路
650	梅山街	梅山路
651	梅山街	梅林路
652	梅秀路	梅林路
653	梅秀路	北环大道
654	梅坳二路	梅坳五路
655	梅坳二路	中康路
656	民田路	深南大道
657	民田路	滨河大道
658	南园路	华强南路
659	南园路	上步南路
660	农林路	红荔西路
661	农林路	侨香路
662	农林路	深南大道
663	农园路	红荔西路
664	农园路	侨香路
665	农园路	深南大道
666	沙嘴路	福强路
667	沙嘴路	滨河大道
668	沙嘴路	福荣路
669	泰然九路	深南大道
670	泰然九路	滨河大道
671	下梅林一街	香梅路
672	下梅林一街	梅林路
673	香梅路	红荔西路
674	香梅路	莲花路(福田)
675	香梅路	侨香路
676	香梅路	北环大道
677	香梅路	深南大道
678	雨田路	北环大道
679	雨田路	莲花路(福田)
680	振华路	华富路
681	振华路	华强北路
682	振华路	上步中路
683	振华西路	皇岗路
684	振华西路	华富路
685	中康路	梅坳二路
686	中康路	北环大道
687	华强北路	红荔路
688	华强北路	笋岗西路
689	华强北路	深南中路
690	华强南路	深南中路
691	华强南路	滨河大道
692	爱国路高架桥	布心路
693	爱国路高架桥	沿河路
694	深盐二通道	罗沙路
695	深盐二通道	盐坝高速公路
696	丹平快速路	布沙路
697	丹平快速路	龙岗大道
698	丹平快速路	盛宝路
699	丹平快速路	横东岭路
700	丹平快速路	丹平公路
701	丹平快速路	爱国路
702	沿河北路	怡景路
703	沿河北路	深南东路
704	沿河北路	文锦南路
705	沿河北路	江背路
706	沿河路	文锦南路
707	沿河路	深南东路
708	沿河路	怡景路
709	沿河路	黄贝路
710	泥岗东路	宝岗路
711	泥岗东路	泥岗西路
712	泥岗东路	文锦北路
713	布心路	翠竹路(罗湖)
714	布心路	文锦北路
715	布心路	爱国路
716	船步路	滨河大道
717	船步路	沿河路
718	东门北路	翠竹路(罗湖)
719	东门北路	文锦北路
720	东门北路	爱国路
721	文锦中路	爱国路
722	文锦中路	文锦北路
723	文锦中路	深南东路
724	新秀路	深南东路
725	新秀路	罗芳路
726	怡景路	黄贝路
727	怡景路	爱国路
728	怡景路	罗沙路
729	爱国路	布心路
730	爱国路	太宁路
731	爱国路	沿河路
732	爱国路	怡景路
733	爱国路	华丽路
734	爱国路	文锦中路
735	爱国路	东湖路(罗湖)
736	罗沙路	长岭路
737	罗沙路	畔山路
738	罗沙路	鹏兴路
739	罗沙路	延芳路
740	罗沙路	沿河北路
741	罗沙路	沙深路
742	深南东路	北斗路
743	深南东路	文锦南路
744	深南东路	东门中路
745	深南东路	建设路(罗湖)
746	深南东路	宝安南路
747	深南东路	深南中路
748	深南东路	沿河路
749	布吉路	太白路
750	布吉路	龙岗大道
751	布吉路	布心路
752	龙岗大道	横坪公路
753	龙岗大道	富坪中路
754	龙岗大道	教育路
755	龙岗大道	环城南路
756	龙岗大道	丰田路
757	龙岗大道	深汕路
758	龙岗大道	碧新路
759	龙岗大道	龙城大道
760	龙岗大道	吉祥路
761	龙岗大道	如意路
762	龙岗大道	黄阁路
763	龙岗大道	机荷高速公路
764	龙岗大道	荷康路
765	龙岗大道	惠盐路
766	龙岗大道	康乐路
767	龙岗大道	盐排高速
768	龙岗大道	丹平快速路
769	龙岗大道	布澜路
770	龙岗大道	布龙路
771	龙岗大道	布吉路
772	龙岗大道	惠州
773	文锦北路	田贝四路
774	文锦北路	布心路
775	文锦北路	文锦中路
776	文锦南路	深南东路
777	文锦南路	沿河路
778	笋岗东路	洪湖路
779	笋岗东路	洪湖西路
780	笋岗东路	宝安北路
781	笋岗东路	红岭北路
782	笋岗东路	文锦北路
783	宝安北路	梅园路
784	宝安北路	泥岗东路
785	宝安北路	笋岗东路
786	宝安南路	深南东路
787	宝安南路	红桂路
788	宝安南路	笋岗东路
789	宝安南路	滨河大道
790	宝岗路	梅园路
791	宝岗路	泥岗东路
792	宝岗路	笋岗东路
793	北斗路	深南东路
794	北斗路	沿河路
795	春风路	文锦南路
796	春风路	船步路
797	春风路	北斗路
798	东门南路	深南东路
799	东门南路	沿河路
800	东门中路	文锦北路
801	东门中路	深南东路
802	洪湖路	田贝四路
803	洪湖路	笋岗东路
804	洪湖西路	田贝四路
805	洪湖西路	泥岗东路
806	洪湖西路	笋岗东路
807	红桂路	红岭中路
808	红桂路	蛟湖路
809	华丽路	东门北路
810	华丽路	爱国路
811	黄贝路	怡景路
812	黄贝路	华丽路
813	黄贝路	沿河路
814	嘉宾路	建设路(罗湖)
815	嘉宾路	金塘街
816	嘉宾路	东门南路
817	解放路	解放西路
818	解放路	新园路
819	解放西路	深南东路
820	解放西路	解放路
821	金稻田路	禾坑路
822	金稻田路	布吉路
823	金稻田路	东湖路(罗湖)
824	金华街	红岭南路
825	金华街	金塘街
826	金塘街	金华街
827	金塘街	嘉宾路
828	聚宝路	仙湖路
829	聚宝路	国威路
830	聚宝路	仙湖山庄
831	聚宝路	罗沙路
832	莲塘路	聚宝路
833	莲塘路	仙湖路
834	莲塘路	鹏兴路
835	莲塘路	畔山路
836	南湖路	深南东路
837	南湖路	船步路
838	清水河三路	红岗路
839	清水河三路	泥岗东路
840	清水河一路	红岗路
841	清水河一路	布吉路
842	人民公园路	蛟湖路
843	人民公园路	笋岗东路
844	人民公园路	解放路
845	三号路	东门中路
846	三号路	兴湖路
847	晒布路	人民北路
848	晒布路	东门中路
849	太白路	翠竹路(罗湖)
850	太白路	布吉路
851	太白路	翠竹路(罗湖)
852	太宁路	翠竹路(罗湖)
853	太宁路	爱国路
854	田贝四路	文锦北路
855	田贝四路	洪湖西路
856	田贝四路	翠竹路(罗湖)
857	仙湖路	莲塘路
858	仙湖路	国威路
859	仙湖路	罗沙路
860	蛟湖路	红桂路
861	蛟湖路	晒布路
862	南坪快速路	布龙路
863	南坪快速路	坂雪岗大道
864	南坪快速路	梅观路
865	南坪快速路	玉龙路
866	南坪快速路	福龙路
867	南坪快速路	塘朗山隧道
868	南坪快速路	广深高速公路
869	南坪快速路	水官高速
870	八号路	后海大道
871	八号路	望海路
872	茶光路	同乐路
873	茶光路	沙河西路
874	港湾大道	兴海大道
875	工业七路	后海大道
876	工业七路	公园路(南山)
877	工业七路	南海大道
878	工业七路	中心路(南山)
879	科苑南路	招商东路
880	科苑南路	工业八路
881	科苑南路	东滨路
882	科苑南路	创业路(南山)
883	科苑南路	滨海大道
884	科苑南路	高新南十道
885	科苑南路	白石路
886	科苑南路	深南大道
887	科苑南路	望海路
888	龙珠大道	龙珠八路
889	龙珠大道	龙珠四路
890	龙珠大道	龙珠三路
891	龙珠大道	沙河西路
892	龙珠大道	北环大道
893	留仙大道	新区大道
894	留仙大道	福龙路
895	留仙大道	丽水路
896	留仙大道	学苑大道
897	留仙大道	沙河西路
898	留仙大道	同发路
899	留仙大道	留仙三路
900	留仙大道	梅龙路
901	松白路	宝石路
902	松白路	塘头大道
903	松白路	机荷高速公路
904	松白路	洲石公路
905	松白路	爱群路
906	松白路	石岩北环路
907	松白路	玉昌东路
908	松白路	光侨大道
909	松白路	光明大道
910	松白路	周家路
911	松白路	南环大道
912	松白路	红花中路
913	松白路	长春南路
914	松白路	金安路
915	松白路	马田路
916	松白路	西环大道
917	松白路	松岗大道
918	松白路	广深公路
919	松白路	沙河西路
920	同乐路	茶光路
921	同乐路	二号路
922	同乐路	留仙大道
923	同乐路	沙河西路
924	同乐路	南海大道
925	科苑北路	科华路
926	科苑北路	北环大道
927	科苑北路	朗山路
928	科苑北路	广深高速公路
929	科苑北路	深南大道
930	桃园路	南山大道
931	桃园路	南新路
932	桃园路	前海路
933	桃园路	月亮湾大道
934	桃园路	南海大道
935	桂庙路	南新路
936	桂庙路	前海路
937	桂庙路	月亮湾大道
938	桂庙路	南山大道
939	东滨路	南光路
940	东滨路	南山大道
941	东滨路	前海路
942	东滨路	月亮湾大道
943	周家路	松白路
944	风景路	创业路(公明)
945	风景路	松白路
946	光祖北路	吉祥路
947	光祖北路	龙兴南路
948	光祖北路	丹梓大道
949	金牛路	荔景南路
950	金牛路	金牛西路
951	金牛路	金牛东路
952	兰景北路	吉祥路
953	兰景北路	兰景路
954	荔景南路	金牛路
955	荔景南路	荔景北路
956	荔景南路	金田路(坪山)
957	龙兴南路	龙兴北路
958	龙兴南路	坪山大道
959	绿梓大道	丹梓大道
960	绿梓大道	吉康路
961	绿梓大道	兰竹路
962	马峦路	东纵路
963	马峦路	比亚迪路
964	乌石路	深汕高速公路
965	乌石路	坪山大道
966	金牛东路	金牛路
967	金牛东路	创景路
968	兰景路	青松西路
969	兰景路	锦绣西路
970	兰景路	丹梓大道
971	兰景路	兰景北路
972	兰景路	兰景中路
973	金牛西路	坪山大道
974	金牛西路	金牛路
975	荔景北路	锦绣西路
976	荔景北路	丹梓大道
977	荔景北路	荔景南路
978	比亚迪路	坪葵路
979	比亚迪路	龙新路
980	比亚迪路	民强路
981	比亚迪路	江岭街
982	比亚迪路	坪马线公路
983	比亚迪路	坪山大道
984	比亚迪路	创景路
985	东纵路	龙新路
986	东纵路	民强路
987	东纵路	江岭街
988	东纵路	马峦路
989	东纵路	坪山大道
990	东纵路	深汕路
991	兰竹路	创景路
992	兰竹路	翠景路
993	兰竹路	兰景路
994	兰竹路	绿荫北路
995	兰竹路	荔景北路
996	兰竹路	坪山大道
997	兰竹路	青兰二路
998	丹梓大道	宝梓中路
999	丹梓大道	光祖北路
1000	丹梓大道	兰景路
1001	丹梓大道	绿梓大道
1002	丹梓大道	绿荫北路
1003	丹梓大道	荔景北路
1004	丹梓大道	丹梓西路
1005	丹梓大道	金沙路(坑梓)
1006	坪山大道	汤坑路
1007	坪山大道	锦龙大道
1008	坪山大道	比亚迪路
1009	坪山大道	东纵路
1010	坪山大道	深汕路
1011	坪山大道	金牛西路
1012	坪山大道	兰竹路
1013	坪山大道	丹梓大道
1014	坪山大道	盘龙路
1015	坪山大道	吉康路
1016	坪山大道	龙兴南路
1017	坪山大道	乌石路
1018	坪山大道	宝梓北路
1019	坪山大道	金沙路(坑梓)
1020	坪山大道	人民东路
1021	坪山大道	白云一路
1022	坪山大道	金碧路(坪山)
1023	宝梓北路	坪山大道
1024	宝梓北路	人民路(坑梓)
1025	宝梓南路	人民路(坑梓)
1026	宝梓南路	锦绣西路
1027	创景路	金牛东路
1028	创景路	兰竹路
1029	创景路	金田路(坪山)
1030	翠景路	兰竹路
1031	翠景路	青松西路
1032	翠景路	锦绣西路
1033	翠景路	丹梓大道
1034	翠景路	金牛东路
1035	东门大街	东门大街
1036	东门大街	东纵路
1037	东胜街	建设路(坪山)
1038	东胜街	东门大街
1039	二六零乡道	龙兴南路
1040	二六零乡道	乌石路
1041	吉康路	吉祥路
1042	吉康路	坪山大道
1043	吉康路	宝梓中路
1044	江岭街	东纵路
1045	江岭街	比亚迪路
1046	锦龙四路	南同大道
1047	锦龙四路	宝龙大道
1048	锦绣东路	锦绣中路
1049	锦绣东路	石化大道西
1050	锦绣西路	坪山大道
1051	锦绣西路	绿荫北路
1052	兰景中路	兰竹路
1053	兰景中路	金牛东路
1054	立新西路	三洋湖路
1055	立新西路	建设路(坪山)
1056	龙新路	东纵路
1057	龙新路	比亚迪路
1058	绿荫北路	丹梓大道
1059	绿荫北路	兰竹路
1060	民强路	东纵路
1061	民强路	比亚迪路
1062	乾远路	新沙路
1063	乾远路	沙坑路
1064	青兰二路	青松西路
1065	青兰二路	兰竹路
1066	青兰一路	青松西路
1067	青兰一路	兰竹路
1068	青松西路	青兰一路
1069	青松西路	翠景路
1070	青松西路	兰景路
1071	青松西路	青兰二路
1072	清风大道	宝龙五路
1073	清风大道	宝龙三路
